iter	Accuracy	Logloss
0	0.827540107	0.6713300284
1	0.8315508021	0.6548190054
2	0.8262032086	0.6404766731
3	0.8422459893	0.6230961686
4	0.8355614973	0.6078333938
5	0.8368983957	0.5939805576
6	0.8328877005	0.5808323084
7	0.8328877005	0.5688161764
8	0.8342245989	0.5618641915
9	0.8355614973	0.5517585616
10	0.8342245989	0.5416379825
11	0.8355614973	0.5314969252
12	0.8342245989	0.5217270333
13	0.8368983957	0.5132591755
14	0.8355614973	0.5067357478
15	0.8355614973	0.4992680579
16	0.8382352941	0.4926648665
17	0.8368983957	0.4866292215
18	0.8382352941	0.4793869966
19	0.8382352941	0.4732983394
20	0.8395721925	0.46833964
21	0.8395721925	0.4636155676
22	0.8409090909	0.4594863096
23	0.8422459893	0.4548207364
24	0.8422459893	0.4501168136
25	0.8422459893	0.4446212219
26	0.8435828877	0.4393223058
27	0.8435828877	0.4356710274
28	0.8435828877	0.4331579685
29	0.8475935829	0.4294607123
30	0.8475935829	0.426385685
31	0.8462566845	0.422962833
32	0.8475935829	0.4200540336
33	0.8462566845	0.4173013228
34	0.8475935829	0.4146089801
35	0.8449197861	0.411529541
36	0.8489304813	0.4105390145
37	0.8449197861	0.4088023336
38	0.8462566845	0.4061212515
39	0.8462566845	0.4039750148
40	0.8462566845	0.4009163923
41	0.8462566845	0.3987298028
42	0.8462566845	0.3961155558
43	0.8502673797	0.3933697038
44	0.8502673797	0.3921904131
45	0.8502673797	0.3903436256
46	0.8502673797	0.3874965426
47	0.8516042781	0.3864176571
48	0.8529411765	0.3854286078
49	0.8542780749	0.3841683277
50	0.8569518717	0.3825576666
51	0.8556149733	0.3801821757
52	0.8569518717	0.3783269792
53	0.8569518717	0.3759615653
54	0.8569518717	0.3749368665
55	0.8596256684	0.3737007682
56	0.8609625668	0.3721733377
57	0.8582887701	0.3701541247
58	0.8582887701	0.3693105311
59	0.8582887701	0.3676706851
60	0.8582887701	0.3664352213
61	0.8609625668	0.3650177626
62	0.8609625668	0.3634626789
63	0.8636363636	0.3626898608
64	0.864973262	0.3607392462
65	0.864973262	0.3595502369
66	0.864973262	0.3580892208
67	0.8663101604	0.3578701003
68	0.864973262	0.3574062652
69	0.8663101604	0.3565288822
70	0.8663101604	0.3557721207
71	0.8676470588	0.3550252614
72	0.8663101604	0.3543928372
73	0.8663101604	0.3533561078
74	0.864973262	0.3529820982
75	0.8663101604	0.3522136532
76	0.864973262	0.3512663385
77	0.8663101604	0.3506929824
78	0.864973262	0.3499660541
79	0.8636363636	0.349464303
80	0.8636363636	0.3492328467
81	0.864973262	0.3481739195
82	0.864973262	0.3477214584
83	0.8663101604	0.3472998058
84	0.864973262	0.3471462615
85	0.864973262	0.3463277996
86	0.8663101604	0.3449905222
87	0.8663101604	0.3438614276
88	0.8663101604	0.3427089711
89	0.8663101604	0.341856282
90	0.8663101604	0.3413628763
91	0.8663101604	0.3406643351
92	0.8663101604	0.3395294223
93	0.8663101604	0.3393964126
94	0.8676470588	0.3381707947
95	0.8676470588	0.3380304732
96	0.8676470588	0.3373180015
97	0.8676470588	0.3368385456
98	0.8689839572	0.3362391238
99	0.8689839572	0.3355150771
100	0.8689839572	0.3349763531
101	0.8689839572	0.3342598763
102	0.8676470588	0.3338031896
103	0.8689839572	0.3331974631
104	0.8703208556	0.3326193887
105	0.8703208556	0.3320329614
106	0.8676470588	0.330832723
107	0.8689839572	0.3298692548
108	0.871657754	0.3292833534
109	0.8703208556	0.328640455
110	0.8703208556	0.3284389198
111	0.8703208556	0.3278037535
112	0.8689839572	0.3273735955
113	0.8703208556	0.3269580733
114	0.8689839572	0.326130883
115	0.8689839572	0.3257409832
116	0.8689839572	0.3251197966
117	0.8703208556	0.3246326539
118	0.8703208556	0.3245561051
119	0.8703208556	0.3242230956
120	0.8703208556	0.3233057782
121	0.8703208556	0.3230731823
122	0.8743315508	0.3222147535
123	0.8756684492	0.3218556573
124	0.8770053476	0.3217898718
125	0.8770053476	0.3214099005
126	0.8770053476	0.3211475663
127	0.878342246	0.3207705114
128	0.878342246	0.3206611198
129	0.878342246	0.3205953991
130	0.878342246	0.3203505715
131	0.878342246	0.319600936
132	0.8796791444	0.3192922087
133	0.8796791444	0.3185922238
134	0.8796791444	0.3172338271
135	0.8823529412	0.3164427794
136	0.8823529412	0.3158583163
137	0.8823529412	0.3151329195
138	0.8823529412	0.3148396954
139	0.8836898396	0.3146851595
140	0.8823529412	0.3144359394
141	0.8836898396	0.3136368033
142	0.885026738	0.3130896225
143	0.885026738	0.3120906892
144	0.8836898396	0.3115472304
145	0.885026738	0.3111898325
146	0.885026738	0.3107976811
147	0.885026738	0.3107593347
148	0.885026738	0.3099231461
149	0.885026738	0.3092462869
150	0.885026738	0.309127941
151	0.885026738	0.3091191042
152	0.885026738	0.3084248376
