iter	Passed	Remaining
0	1286	1284959
1	1487	742453
2	1598	531309
3	2079	517701
4	2403	478364
5	2522	417834
6	2608	370005
7	2809	348432
8	2843	313115
9	3002	297218
10	3114	280062
11	3207	264051
12	3307	251151
13	3379	238006
14	3432	225417
15	3551	218418
16	3642	210644
17	3725	203260
18	3812	196867
19	3895	190896
20	4128	192474
21	4251	188981
22	4478	190256
23	4627	188185
24	4811	187663
25	4955	185630
26	5073	182834
27	5180	179820
28	5281	176844
29	5378	173911
30	5475	171148
31	5595	169262
32	5676	166339
33	5827	165565
34	6109	168441
35	6282	168240
36	6366	165698
37	6441	163059
38	6522	160708
39	6785	162845
40	6904	161492
41	7036	160504
42	7126	158601
43	7214	156758
44	7286	154645
45	7356	152567
46	7435	150766
47	7521	149182
48	7598	147470
49	7656	145482
50	7723	143722
51	7862	143331
52	7955	142152
53	8063	141253
54	8126	139636
55	8180	137894
56	8232	136198
57	8295	134736
58	8357	133289
59	8419	131913
60	8472	130425
61	8517	128861
62	8586	127710
63	8610	125933
64	8653	124482
65	8710	123267
66	8759	121976
67	8779	120325
68	8807	118841
69	8859	117703
70	8910	116588
71	8961	115505
72	9012	114444
73	9234	115562
74	9329	115058
75	9383	114083
76	9431	113052
77	9473	111985
78	9511	110887
79	9551	109842
80	9571	108599
81	9610	107589
82	9652	106638
83	9679	105549
84	9694	104355
85	9743	103551
86	9785	102696
87	9838	101961
88	9879	101124
89	9921	100320
90	9968	99574
91	10012	98814
92	10044	97962
93	10060	96966
94	10105	96265
95	10124	95335
96	10164	94622
97	10202	93904
98	10241	93209
99	10285	92566
100	10327	91920
101	10369	91288
102	10417	90727
103	10458	90108
104	10498	89484
105	10539	88891
106	10587	88360
107	10627	87777
108	10669	87219
109	10722	86758
110	10763	86208
111	10806	85679
112	10846	85143
113	10892	84653
114	10942	84212
115	11014	83940
116	11079	83618
117	11126	83166
118	11141	82486
119	11186	82034
120	11226	81557
121	11266	81083
122	11311	80651
123	11360	80257
124	11376	79636
125	11416	79189
126	11460	78781
127	11503	78365
128	11523	77807
129	11562	77382
130	11606	76992
131	11651	76617
132	11700	76270
133	11741	75882
134	11785	75512
135	11827	75139
136	11870	74775
137	11920	74460
138	11960	74086
139	11990	73653
140	12030	73294
141	12077	72974
142	12122	72649
143	12159	72283
144	12200	71941
145	12246	71632
146	12286	71293
147	12322	70938
148	12366	70631
149	12404	70292
150	12420	69836
151	12442	69417
152	12483	69109
153	12582	69124
154	12628	68844
155	12940	70014
156	13041	70027
157	13090	69761
158	13139	69496
159	13177	69183
160	13256	69083
161	13324	68924
162	13382	68721
163	13458	68606
164	13524	68444
165	13593	68294
166	13630	67990
167	13696	67829
168	13765	67687
169	13837	67559
170	13905	67414
171	13953	67173
172	14021	67028
173	14082	66849
174	14132	66625
175	14226	66608
176	14420	67049
177	14494	66935
178	14653	67210
179	14776	67314
180	14855	67217
181	14920	67060
182	15011	67019
183	15092	66932
184	15145	66720
185	15225	66630
186	15276	66417
187	15317	66156
188	15358	65903
189	15395	65634
190	15433	65368
191	15451	65023
192	15487	64758
193	15532	64530
194	15576	64303
195	15627	64105
196	15691	63960
197	15745	63776
198	15803	63610
199	15862	63451
200	15922	63294
201	15985	63149
202	16034	62951
203	16079	62742
204	16127	62542
205	16168	62321
206	16207	62089
207	16259	61909
208	16297	61680
209	16338	61463
210	16374	61231
211	16423	61045
212	16465	60836
213	16503	60616
214	16540	60393
215	16586	60204
216	16625	59988
217	16669	59794
218	16710	59594
219	16748	59381
220	16767	59103
221	16805	58893
222	16842	58682
223	16881	58483
224	16918	58275
225	16956	58073
226	16992	57865
227	17034	57678
228	17073	57483
229	17111	57286
230	17151	57097
231	17191	56909
232	17227	56710
233	17262	56510
234	17298	56313
235	17339	56132
236	17359	55886
237	17406	55729
238	17450	55565
239	17503	55426
240	17628	55519
241	17737	55558
242	17807	55473
243	17870	55368
244	17929	55253
245	17972	55087
246	18018	54931
247	18081	54828
248	18152	54750
249	18208	54625
250	18272	54524
251	18333	54417
252	18426	54404
253	18480	54277
254	18638	54453
255	18917	54977
256	19098	55215
257	19239	55330
258	19273	55141
259	19326	55004
260	19377	54865
261	19415	54688
262	19439	54474
263	19481	54313
264	19527	54161
265	19548	53940
266	19596	53799
267	19646	53660
268	19702	53540
269	19743	53381
270	19797	53256
271	19835	53090
272	19873	52923
273	19911	52758
274	19952	52601
275	19992	52443
276	20032	52286
277	20088	52172
278	20136	52037
279	20184	51902
280	20235	51776
281	20277	51628
282	20319	51481
283	20364	51341
284	20405	51193
285	20445	51041
286	20482	50885
287	20524	50741
288	20559	50581
289	20596	50425
290	20642	50294
291	20698	50186
292	20743	50054
293	20792	49930
294	20839	49802
295	20879	49660
296	20919	49516
297	20962	49380
298	21001	49238
299	21038	49089
300	21076	48945
301	21119	48812
302	21159	48673
303	21197	48531
304	21234	48386
305	21280	48262
306	21317	48121
307	21356	47982
308	21395	47844
309	21452	47749
310	21500	47632
311	21550	47521
312	21603	47417
313	21653	47307
314	21731	47257
315	21837	47269
316	21902	47190
317	21950	47076
318	22005	46977
319	22056	46869
320	22315	47204
321	22446	47264
322	22534	47231
323	22673	47305
324	22723	47194
325	22782	47102
326	22827	46981
327	22902	46923
328	23020	46950
329	23073	46846
330	23140	46770
331	23187	46653
332	23241	46552
333	23290	46441
334	23336	46324
335	23389	46221
336	23441	46118
337	23495	46018
338	23555	45929
339	23643	45896
340	23688	45780
341	23737	45670
342	23781	45552
343	23849	45479
344	23910	45395
345	23997	45359
346	24140	45427
347	24297	45522
348	24518	45735
349	24606	45697
350	24665	45606
351	24715	45498
352	24756	45375
353	24799	45255
354	24852	45153
355	24920	45080
356	24980	44992
357	25030	44886
358	25146	44900
359	25235	44862
360	25275	44739
361	25312	44611
362	25351	44487
363	25391	44364
364	25431	44243
365	25497	44168
366	25549	44067
367	25600	43965
368	25657	43874
369	25695	43751
370	25733	43629
371	25770	43505
372	25815	43395
373	25864	43291
374	25909	43183
375	25967	43094
376	26005	42975
377	26048	42863
378	26106	42775
379	26153	42671
380	26195	42559
381	26242	42455
382	26294	42359
383	26340	42255
384	26398	42169
385	26446	42068
386	26488	41956
387	26538	41860
388	26587	41761
389	26644	41674
390	26686	41565
391	26716	41437
392	26756	41326
393	26795	41214
394	26845	41117
395	26893	41019
396	26940	40920
397	26991	40826
398	27033	40719
399	27074	40611
400	27121	40513
401	27164	40408
402	27202	40298
403	27250	40200
404	27311	40124
405	27367	40040
406	27413	39941
407	27470	39859
408	27511	39754
409	27559	39658
410	27610	39567
411	27655	39469
412	27694	39362
413	27735	39258
414	27783	39164
415	27822	39058
416	27862	38953
417	27912	38864
418	27955	38764
419	27993	38657
420	28035	38557
421	28078	38458
422	28118	38356
423	28161	38257
424	28201	38155
425	28246	38059
426	28284	37954
427	28323	37852
428	28366	37756
429	28405	37654
430	28447	37556
431	28499	37471
432	28552	37388
433	28618	37323
434	28678	37248
435	28719	37150
436	28760	37053
437	28807	36963
438	28852	36870
439	28894	36775
440	28940	36684
441	28986	36594
442	29030	36501
443	29176	36535
444	29271	36507
445	29331	36434
446	29447	36430
447	29594	36464
448	29696	36443
449	29880	36520
450	29968	36480
451	30158	36564
452	30266	36547
453	30345	36494
454	30413	36429
455	30463	36342
456	30512	36253
457	30567	36173
458	30617	36087
459	30668	36001
460	30728	35927
461	30777	35840
462	30898	35837
463	31035	35851
464	31126	35811
465	31164	35712
466	31202	35612
467	31245	35518
468	31281	35416
469	31323	35322
470	31364	35226
471	31427	35155
472	31479	35073
473	31616	35085
474	31727	35067
475	31807	35014
476	31856	34928
477	31905	34842
478	31949	34751
479	31995	34661
480	32039	34570
481	32087	34483
482	32138	34400
483	32188	34316
484	32235	34229
485	32285	34145
486	32333	34059
487	32380	33973
488	32439	33898
489	32480	33806
490	32528	33721
491	32579	33639
492	32623	33549
493	32661	33455
494	32701	33362
495	32743	33271
496	32782	33178
497	32827	33090
498	32879	33011
499	32928	32928
500	32976	32844
501	33021	32758
502	33072	32677
503	33116	32590
504	33159	32502
505	33219	32431
506	33261	32343
507	33309	32260
508	33356	32177
509	33397	32088
510	33442	32003
511	33495	31925
512	33543	31843
513	33587	31757
514	33631	31672
515	33675	31586
516	33718	31500
517	33759	31413
518	33805	31330
519	33850	31246
520	33968	31229
521	34084	31211
522	34138	31135
523	34188	31056
524	34235	30974
525	34284	30894
526	34332	30814
527	34376	30730
528	34432	30657
529	34474	30571
530	34524	30493
531	34596	30434
532	34647	30357
533	34691	30273
534	34749	30202
535	34795	30121
536	34839	30038
537	34886	29958
538	34932	29877
539	34977	29795
540	35019	29711
541	35068	29633
542	35115	29553
543	35160	29473
544	35207	29393
545	35253	29313
546	35298	29232
547	35352	29159
548	35398	29079
549	35445	29001
550	35491	28921
551	35543	28847
552	35592	28770
553	35637	28690
554	35691	28617
555	35737	28538
556	35788	28463
557	35833	28384
558	35877	28303
559	35924	28226
560	35971	28149
561	36017	28070
562	36057	27988
563	36104	27910
564	36147	27830
565	36205	27762
566	36255	27686
567	36308	27614
568	36356	27539
569	36409	27466
570	36449	27385
571	36493	27306
572	36550	27237
573	36593	27158
574	36649	27089
575	36708	27021
576	36758	26948
577	36800	26868
578	36849	26793
579	36891	26714
580	36933	26635
581	36977	26558
582	37019	26478
583	37069	26405
584	37127	26338
585	37192	26275
586	37255	26211
587	37321	26150
588	37362	26071
589	37405	25993
590	37448	25916
591	37490	25838
592	37535	25762
593	37575	25682
594	37619	25606
595	37659	25527
596	37693	25444
597	37735	25367
598	37775	25288
599	37814	25209
600	37851	25129
601	37898	25056
